,dialect,translation,(language/dialect)
258,ambanga,about me,(generic Ibibio)
259,ado,but,(generic Ibibio)
260,ado,it is,(generic Ibibio)
261,ado,its,(generic Ibibio)
262,mme,these,(generic Ibibio)
263,ado,are,(generic Ibibio)
264,mbuk,tale,(generic Ibibio)
265,mbukeset,history,(generic Ibibio)
266,eset,past,(generic Ibibio)
267,eset,history,(generic Ibibio)
268,akan,old,(generic Ibibio)
269,akani,old,(Efik-Ibibio)
270,nkan,olden,(generic Ibibio)
271,akan,victory,(generic Ibibio)
272,akan,victorious,(generic Ibibio)
273,akan,greater,(generic Ibibio)
274,ado,were,(generic Ibibio)
275,mme mbuk,tales,(generic Ibibio)
276,edongo,they are,(generic Ibibio)
277,akabado,actually,(generic Ibibio)
278,akabado,really,(generic Ibibio)
279,akpaniko,fact,(generic Ibibio)
280,akpaniko,truth,(generic Ibibio)
281,ata,real,(generic Ibibio)
282,ndion,so,(generic Ibibio)
283,ndien,so,(Efik-Ibibio)
284,edidem,king,(generic Ibibio)
285,idem,deity,(generic Ibibio)
286,ndem,deity,(generic Ibibio)
287,mmo,those,(generic Ibibio)
288,iba,two,(generic Ibibio)
289,iba,pants,(generic Ibibio)
290,afongukot,trousers,(generic Ibibio)
291,nduonduo,gown,(generic Ibibio)
292,mboho,set,(generic Ibibio)
293,mboho,gathering,(generic Ibibio)
294,mboho,congregation,(generic Ibibio)
295,owuo,out,(generic Ibibio)
296,awuo,walkout,(generic Ibibio)
297,awuo,walkaway,(generic Ibibio)
298,sanga,walk,(generic Ibibio)
299,isang,walk,(generic Ibibio)
300,isang,journey,(generic Ibibio)
301,isang,trip,(generic Ibibio)
302,awuo,left,(generic Ibibio)
303,nnasia,right,(generic Ibibio)
304,udom,right,(generic Ibibio)
305,ufien,left,(Efik-Ibibio)
306,ufion,left,(generic Ibibio)
307,ubok,hand,(generic Ibibio)
308,ukod,leg,(generic Ibibio)
309,ukot,leg,(Efik-Ibibio)
310,nnamisang,adventure,(generic Ibibio)
311,eka,they go,(generic Ibibio)
312,eka,they went,(generic Ibibio)
313,ebiat,destroy,(Efik-Ibibio)
314,ebiad,destroy,(generic Ibibio)
315,mbiara,spoilt,(generic Ibibio)
316,mbiara,destroyed,(generic Ibibio)
317,afid,every,(generic Ibibio)
318,ofri,every,(Efik-Ibibo)
319,afid,cutlass,(generic Ibibio)
320,afid,sword,(generic Ibibio)
321,ofuri,cutlass,(generic Ibibio)
322,ofuri,sword,(generic Ibibio)
323,okobo,machete,(generic Ibibio)
324,idiok,evil,(generic Ibibio)
325,aduwem mkpo,creature,(generic Ibibio)
326,esoboke,encounter,(generic Ibibio)
327,esobode,encounter,(Efik-Ibibio)
328,esoboke,meet,(generic Ibibio)
329,esobode,meet,(Efik-Ibibio)
330,esimeke,meet,(generic Ibibio)
331,sime,reach to,(generic Ibibio)
332,sim,reach,(generic Ibibio)
333,sim,arrive,(generic Ibibio)
334,asim,he reached,(generic Ibibio)
335,asim,she reached,(generic Ibibio)
336,esim,they reached,(generic Ibibio)
337,asim,it reached,(generic Ibibio)
338,ndion,eventually,(generic Ibibio)
339,ndien,eventually,(Efik-Ibibio)
340,kied,one,(generic Ibibio)
341,kiet,one,(Efik-Ibibio)
342,abo,got,(generic Ibibio)
343,abo,get,(generic Ibibio)
344,emum,caught,(generic Ibibio)
345,mum,catch,(generic Ibibio)
346,ta,chew,(generic Ibibio)
347,ta,eat,(generic Ibibio)
348,dia,eat,(generic Ibibio)
349,afidowo,everyone,(generic Ibibio)
350,etua,mourn,(generic Ibibio)
351,ntuanga,mourning,(generic Ibibio)
352,etuanga,they mourned,(generic Ibibio)
353,ado,that,(generic Ibibio)
354,death,mkpa,(generic Ibibio)
355,kpa,die,(generic Ibibio)
356,wod,kill,(generic Ibibio)
357,wot,kill,(Efik-Ibibio)
358,kaiso,continue,(generic Ibibio)
359,akaiso,he continued,(generic Ibibio)
360,akaiso,she continued,(generic Ibibio)
361,ekaiso,they continued,(generic Ibibio)
362,kpenge,slay,(generic Ibibio)
363,tutu,until,(generic Ibibio)
364,tutu,till,(generic Ibibio)
365,mkpong,tomorrow,(generic Ibibio)
366,mkpong,yesterday,(generic Ibibio)
367,ubak mkpong,next tomorrow,(generic Ibibio)
368,edem mkpong,day before yesterday,(generic Ibibio)
369,nko,too,(generic Ibibio)
370,akene,followed,(generic Ibibio)
371,kene,follow,(generic Ibibio)
372,adian,joined,(generic Ibibio)
373,dian,join,(generic Ibibio)
374,diana,join,(generic Ibibio)
375,diana,fellowship,(generic Ibibio)
376,diana,cooperate,(generic Ibibio)
377,mbiba,both,(generic Ibibio)
378,mmo mbiba,both are,(generic Ibibio)
379,tenge,rever,(generic Ibibio)
380,utenge,reverence,(generic Ibibio)
381,ndik,fear,(generic Ibibio)
382,ndik,awe,(generic Ibibio)
383,nte,as,(generic Ibibio)
384,nte,same,(generic Ibibio)
385,akwa,legend,(generic Ibibio)
386,akwakwa,legendary,(generic Ibibio)
387,mbonuko,heroes,(generic Ibibio)
388,owouko,heroe,(generic Ibibio)
389,afid,all,(generic Ibibio)
390,diongo,know,(generic Ibibio)
391,idiongo,sign,(generic Ibibio)
392,idiong,wizardry,(generic Ibibio)
393,diong,bless,(generic Ibibio)
394,edidiong,blessing,(generic Ibibio)
395,ediong,blessed,(generic Ibibio)
396,ifod,wizardry,(generic Ibibio)
397,ifod,witchcraftcy,(generic Ibibio)
398,uso,skill,(generic Ibibio)
399,mkpaidem,incredible,(generic Ibibio)
400,mkpaidem,marvel,(generic Ibibio)
401,nsioho,mockery,(generic Ibibio)
402,nyoh,mystery,(generic Ibibio)
403,utom,work,(generic Ibibio)
404,utom,act,(generic Ibibio)
405,utom,deeds,(generic Ibibio)
406,utom,job,(generic Ibibio)
407,sangasung,farewell,(generic Ibibio)
408,yaknka,goodbye,(generic Ibibio)
409,yakndi,see you later,(generic Ibibio)
410,mana,again,(generic Ibibio)
411,adidem,king,(generic Ibibio)
412,edibip,they asking,(generic Ibibio)
413,edibip,them asking,(generic Ibibio)
414,ndibip,me asking,(generic Ibibio)
415,adibip,him asking,(generic Ibibio)
416,adibip,she asking,(generic Ibibio)
417,bip,ask,(generic Ibibio)
418,mbime,question,(generic Ibibio)
419,ndubip,question,(generic Ibibio)
420,mbime,query,(generic Ibibio)
421,ndubip,query,(generic Ibibio)
422,ete,saying,(generic Ibibio)
423,ate,said,(generic Ibibio)
424,nte,i said,(generic Ibibio)
425,mbo,i am saying,(generic Ibibio)
426,mmo,where,(generic Ibibio)
427,anye,whom,(generic Ibibio)
428,amanake,birthed,(generic Ibibio)
429,aman,birth,(generic Ibibio)
430,nte,like,(generic Ibibio)
431,ate,like,(generic Ibibio)
432,nyin,we,(generic Ibibio)
433,imaikit,we saw,(generic Ibibio)
434,imikit,we see,(generic Ibibio)
435,imaikut,we saw,(Efik-Ibibio)
436,imikut,we see,(Efik-Ibibio)
437,kit,see,(generic Ibibio)
438,kut,see,(Efik-Ibibio)
439,ntantafiong,star,(generic Ibibio)
440,ntantafiong,twinkling star,(generic Ibibio)
441,ntanta,twinkling,(generic Ibibio)
442,afiong,moon,(generic Ibibio)
443,ntanta,star,(generic Ibibio)
444,ofiong,moon,(generic Ibibio)
445,usakkautin,east,(generic Ibibio)
446,usakkautin,sunrise,(generic Ibibio)
447,usakka,splitting,(generic Ibibio)
448,saka,splitted,(generic Ibibio)
449,sak,laugh,(generic Ibibio)
450,usakedet,milk teeth,(generic Ibibio)
451,siak,split,(generic Ibibio)
452,siak,split it,(generic Ibibio)
453,edet,tooth,(generic Ibibio)
454,edet,teeth,(generic Ibibio)
455,ndin,then,(generic Ibibio)
456,ndion,then,(generic Ibibio)
457,ndien,then,(Efik-Ibibio)
458,idi,we came,(generic Ibibio)
459,idi,we come,(generic Ibibio)
460,ndi,i come,(generic Ibibio)
461,ndi,i came,(generic Ibibio)
462,adikpono,to worship,(generic Ibibio)
463,ndikpono,to worship,(Efik-Ibibio)
464,kpono,worship,(generic Ibibio)
465,kpono,honour,(generic Ibibio)
466,kpono,respect,(generic Ibibio)
467,kpono,obeisance,(generic Ibibio)
468,ukpono,worship,(generic Ibibio)
469,ukpono,respect,(generic Ibibio)
470,ukpono,obeisance,(generic Ibibio)
471,afid,every,(generic Ibibio)
472,afid,all,(generic Ibibio)
473,ndin idi adikpono anye,and have come to worship him,(generic Ibibio)
474,ini,when,(generic Ibibio)
475,ini,time,(generic Ibibio)
476,amaafá»na anye,he was disturbed,(generic Ibibio)
477,amaafá»na anye,she was disturbed,(generic Ibibio)
478,amaafina,was disturbed,(generic Ibibio)
479,amaafina,was worried,(generic Ibibio)
480,amaafina,was bothered,(generic Ibibio)
481,amaafina,was troubled,(generic Ibibio)
482,afina,worrying,(generic Ibibio)
483,afina,troubling,(generic Ibibio)
484,afina,disturbing,(generic Ibibio)
485,fina,disturb,(generic Ibibio)
486,fina,bother,(generic Ibibio)
487,fina,worry,(generic Ibibio)
488,mfina,trouble,(generic Ibibio)
489,amaakekood,summoned all,(generic Ibibio)
490,amaakood,summoned,(generic Ibibio)
491,akood,called,(generic Ibibio)
492,kood,call,(generic Ibibio)
493,sin,put,(generic Ibibio)
494,uyo,voice,(generic Ibibio)
495,uyo,bush mango,(generic Ibibio)
496,uyo,pastery,(generic Ibibio)
497,uyo,bread,(generic Ibibio)
498,uyo,biscuit,(generic Ibibio)
499,aku,priest,(generic Ibibio)
500,oku,priest,(generic Ibibio)
501,efa,artist,(generic Ibibio)
502,efa,priest,(generic Ibibio)
503,mfa,artistry,(generic Ibibio)
504,ifa,priest,(generic Ibibio)
505,andikpeb,teacher,(generic Ibibio)
506,kpeb,teach,(generic Ibibio)
507,akpeb,student,(generic Ibibio)
508,akpeb,learner,(generic Ibibio)
509,akpebmkpo,tutor,(generic Ibibio)
510,akpeb,tutor,(generic Ibibio)
511,ibed,law,(generic Ibibio)
512,ibed,taboo,(generic Ibibio)
513,ibed,forbidden,(generic Ibibio)
514,ibon,gather,(generic Ibibio)
515,ibon,together,(generic Ibibio)
516,ibon,group,(generic Ibibio)
517,mbono,gathering,(generic Ibibio)
518,bono,grouping,(generic Ibibio)
519,mbono,meeting,(generic Ibibio)
520,abanga,concerning,(generic Ibibio)
521,ibanga,gossip,(generic Ibibio)
522,abanga,mentioning,(generic Ibibio)
523,ibanga,mentions,(generic Ibibio)
524,banga,mention,(generic Ibibio)
525,banga,refer,(generic Ibibio)
526,abanga,referring,(generic Ibibio)
527,itie,seat,(generic Ibibio)
528,itie,site,(generic Ibibio)
529,itie,state,(generic Ibibio)
530,itie,station,(generic Ibibio)
531,itie,point,(generic Ibibio)
532,akenaha,would have,(generic Ibibio)
533,akenaha,could have,(generic Ibibio)
534,naha,have,(generic Ibibio)
535,amana,birthed,(generic Ibibio)
536,do,there,(generic Ibibio)
537,do,done,(generic Ibibio)
538,mi,here,(generic Ibibio)
539,akem,enough,(generic Ibibio)
540,emaeboro,they did reply,(generic Ibibio)
541,emaeboro,they did respond,(generic Ibibio)
542,ema,they did,(generic Ibibio)
543,eboro,they reply,(generic Ibibio)
544,eboro,they respond,(generic Ibibio)
545,iboro,response,(generic Ibibio)
546,iboro,reply,(generic Ibibio)
547,iboro,answer,(generic Ibibio)
548,akewet,he wrote,(generic Ibibio)
549,akewet,she wrote,(generic Ibibio)
550,ekewet,they wrote,(generic Ibibio)
551,idoro,like that,(generic Ibibio)
552,idodo,like that,(generic Ibibio)
553,eke,they,(generic Ibibio)
554,ewet,writers,(generic Ibibio)
555,awet,writer,(generic Ibibio)
556,wet,write,(generic Ibibio)
557,nwed,book,(generic Ibibio)
558,nwet,i write,(generic Ibibio)
559,nwet,i wrote,(generic Ibibio)
560,se,see,(generic Ibibio)
561,se,watch,(generic Ibibio)
562,sese,see,(generic Ibibio)
563,kase,come see,(generic Ibibio)
564,kase,look at,(generic Ibibio)
565,se,look,(generic Ibibio)
566,sese,look,(generic Ibibio)
567,nse,i see,(generic Ibibio)
568,nse,i look,(generic Ibibio)
569,ase,he looks,(generic Ibibio)
570,ase ,she looks,(generic Ibibio)
571,ese,they look,(generic Ibibio)
572,ese,testify,(generic Ibibio)
573,ese,testimony,(generic Ibibio)
574,ndin,then,(generic Ibibio)
575,ndiin,condiments,(generic Ibibio)
576,ndion,condiments,(generic Ibibio)
577,ifu,lazy,(generic Ibibio)
578,ifu,slothful,(generic Ibibio)
579,idiaha,not eating,(generic Ibibio)
580,isong,land,(generic Ibibio)
581,isong,ground,(generic Ibibio)
582,obot,land,(generic Ibibio)
583,mmong,water,(generic Ibibio)
584,idim,stream,(generic Ibibio)
585,edim,rain,(generic Ibibio)
586,inyang,river,(generic Ibibio)
587,akpa,wide,(generic Ibibio)
588,akpammong,large river,(generic Ibibio)
589,akpainyang,ocean,(generic Ibibio)
590,akpa,ocean,(generic Ibibio)
591,akpa,sea,(generic Ibibio)
592,akpammong,sea,(generic Ibibio)
593,oyobio,storm,(generic Ibibio)
594,afim,wind,(generic Ibibio)
595,dep,raining,(generic Ibibio)
596,ibiok,fount,(generic Ibibio)
597,ibiok,spring,(generic Ibibio)
598,usippe ukan,not smaller than,(generic Ibibio)
599,usippe,not smaller,(generic Ibibio)
600,usipnkan,smaller,(generic Ibibio)
601,usip,small,(generic Ibibio)
602,sip,small,(generic Ibibio)
603,isip,kernel,(generic Ibibio)
604,isip,seed,(generic Ibibio)
605,ndomoked,by no means,(generic Ibibio)
606,ndomoked,none,(generic Ibibio)
607,nteked,none,(generic Ibibio)
608,nteked,by no means,(generic Ibibio)
609,ndomo,tempting,(generic Ibibio)
610,domo,tempt,(generic Ibibio)
611,ndomo,examining,(generic Ibibio)
612,domo,examine,(generic Ibibio)
613,udomo,examination,(generic Ibibio)
614,udomo,test,(generic Ibibio)
615,ked,one,(generic Ibibio)
616,keed,one,(generic Ibibio)
617,atu,among,(generic Ibibio)
618,otu,among,(generic Ibibio)
619,sia,for,(generic Ibibio)
620,ntak,because,(generic Ibibio)
621,ntak,cause,(generic Ibibio)
622,ntak,reason,(generic Ibibio)
623,andikara,ruler,(generic Ibibio)
624,adito,come from,(generic Ibibio)
625,adito,emanate,(generic Ibibio)
626,adido,will be,(generic Ibibio)
627,adido,shall be,(generic Ibibio)
628,adido,subsequent,(generic Ibibio)
629,adido,subsequently,(generic Ibibio)
630,andiikpeme,protector,(generic Ibibio)
631,andikpeme,protector,(generic Ibibio)
632,andikpeme,guide,(generic Ibibio)
633,kpeme,guide,(generic Ibibio)
634,kpeme,direct,(generic Ibibio)
635,wot,direct,(generic Ibibio)
636,ukpeme,protect,(generic Ibibio)
637,ikod,bush,(generic Ibibio)
638,ikod,people,(generic Ibibio)
639,ikot,bush,(generic Ibibio)
640,ikot,people,(Efik-Ibibio)
641,akood,called,(generic Ibibio)
642,kood,call,(generic Ibibio)
643,kod,call,(generic Ibibio)
644,ikpo,big,(generic Ibibio)
645,ikpoawo,elders,(generic Ibibio)
646,ikpowo,elders,(generic Ibibio)
647,ekambawo,elder,(generic Ibibio)
648,ekambaowo,elder,(generic Ibibio)
649,oniong,wisdom,(generic Ibibio)
650,ifiok,knowledge,(generic Ibibio)
651,ikike,understanding,(generic Ibibio)
652,ifiok,wisdom,(generic Ibibio)
653,ndedibe,hideous,(generic Ibibio)
654,ndedibe,private,(generic Ibibio)
655,dibe,hide,(generic Ibibio)
656,dib,hid,(generic Ibibio)
657,anyung,therefore,(generic Ibibio)
658,ikaiya,you all go,(generic Ibibio)
659,ka,go,(generic Ibibio)
660,ikitim,deligently,(generic Ibibio)
661,itim,deligent,(generic Ibibio)
662,tim,arrange,(generic Ibibio)
663,tim,set,(generic Ibibio)
664,adiongo,learned,(generic Ibibio)
665,diongo,know,(generic Ibibio)
666,ato,from,(generic Ibibio)
667,ammo,them,(generic Ibibio)
668,ukem,same,(generic Ibibio)
669,ukem,exact,(generic Ibibio)
670,ukeme,ability,(generic Ibibio)
671,akewuoho ada,came out to stand,(generic Ibibio)
672,akewuoho,appeared,(generic Ibibio)
673,ada,stand,(generic Ibibio)
674,ada,barren,(generic Ibibio)
675,ake,which,(generic Ibibio)
676,akewuoho,which appeared,(generic Ibibio)
677,ayin,child,(generic Ibibio)
678,ado,that,(generic Ibibio)
679,imaikit,when seen,(generic Ibibio)
680,imaikit,if seen,(generic Ibibio)
681,inam,endeavour,(generic Ibibio)
682,inam,let me,(generic Ibibio)
683,nam,do,(generic Ibibio)
684,inam,let do,(generic Ibibio)
685,no,for,(generic Ibibio)
686,nko,too,(generic Ibibio)
687,ndiiyung,then,(generic Ibibio)
688,nke,parable,(generic Ibibio)
689,nke,did,(generic Ibibio)
690,emaekekop,they having heard,(generic Ibibio)
691,ema,they,(generic Ibibio)
692,ekekop,having heard,(generic Ibibio)
693,nkekop,did heard,(generic Ibibio)
694,nkekop,do hear,(generic Ibibio)
695,kop,heard,(generic Ibibio)
696,anwanga,understand,(generic Ibibio)
697,se,what,(generic Ibibio)
698,aketang,said,(generic Ibibio)
699,tang,say,(generic Ibibio)
700,tang,talk,(generic Ibibio)
701,ima,done,(generic Ibibio)
702,emaeka,they went,(generic Ibibio)
703,emaeka,they left,(generic Ibibio)
704,eka,went,(generic Ibibio)
705,wo,leave,(generic Ibibio)
706,woro,leave,(Efik-Ibibio)
707,sanga,walking,(generic Ibibio)
708,sangko,keep walking,(generic Ibibio)
